open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1667260800000,325.55400000,325.58712898,325.07610149,325.16224214,0,1667260859999,0,60,0,0,0
1667260860000,325.08525106,325.16532869,325.01100000,325.08200000,0,1667260919999,0,60,0,0,0
1667260920000,325.08200000,325.46882179,325.08200000,325.22526499,0,1667260979999,0,60,0,0,0
1667260980000,325.22526499,325.56817654,325.14140655,325.42200000,0,1667261039999,0,60,0,0,0
1667261040000,325.47745595,325.56365786,325.39427371,325.55933646,0,1667261099999,0,60,0,0,0
1667261100000,325.55927624,325.56349846,325.09119356,325.32764359,0,1667261159999,0,60,0,0,0
1667261160000,325.32764359,325.90610144,325.30699640,325.83808039,0,1667261219999,0,60,0,0,0
1667261220000,325.77359137,326.15682513,325.77359137,325.97437530,0,1667261279999,0,60,0,0,0
1667261280000,325.97437530,326.42500000,325.94709317,326.35900000,0,1667261339999,0,60,0,0,0
1667261340000,326.35980161,326.63190557,326.35900000,326.56208994,0,1667261399999,0,60,0,0,0
1667261400000,326.56208994,326.89900000,326.39211945,326.89900000,0,1667261459999,0,60,0,0,0
1667261460000,326.89800000,326.95952605,326.69900000,326.72197488,0,1667261519999,0,60,0,0,0
1667261520000,326.72197488,327.20400000,326.58739758,327.12164386,0,1667261579999,0,60,0,0,0
1667261580000,327.12246908,327.14600000,326.88852764,326.88852764,0,1667261639999,0,60,0,0,0
1667261640000,326.96695446,327.04100000,326.88765421,327.02754096,0,1667261699999,0,60,0,0,0
1667261700000,327.02581044,327.04570770,326.96000000,327.03630104,0,1667261759999,0,60,0,0,0
1667261760000,327.03343135,327.24797199,327.03196689,327.15444884,0,1667261819999,0,60,0,0,0
1667261820000,327.16307462,327.23086010,327.03314834,327.11959844,0,1667261879999,0,60,0,0,0
1667261880000,327.11959844,327.22126297,325.88322637,325.89399033,0,1667261939999,0,60,0,0,0
1667261940000,325.96057736,325.96481301,325.51000000,325.61574931,0,1667261999999,0,60,0,0,0
1667262000000,325.61574931,325.84800000,325.42500000,325.84200000,0,1667262059999,0,60,0,0,0
1667262060000,325.84200000,325.93886946,325.84200000,325.92694731,0,1667262119999,0,60,0,0,0
1667262120000,325.92676150,325.92676150,325.61800000,325.83000000,0,1667262179999,0,60,0,0,0
1667262180000,325.83000000,325.83000000,325.46401067,325.46822682,0,1667262239999,0,60,0,0,0
1667262240000,325.46580368,325.58200000,324.95000000,324.95000000,0,1667262299999,0,60,0,0,0
1667262300000,324.94138464,324.94138464,324.51444751,324.59227025,0,1667262359999,0,60,0,0,0
1667262360000,324.52565649,324.60277565,324.32865181,324.33422901,0,1667262419999,0,60,0,0,0
1667262420000,324.33325073,324.49023853,324.25865375,324.31285472,0,1667262479999,0,60,0,0,0
1667262480000,324.38211251,324.38287927,323.84006086,324.27868513,0,1667262539999,0,60,0,0,0
1667262540000,324.28900000,324.51300000,324.26400000,324.35900000,0,1667262599999,0,60,0,0,0
1667262600000,324.35900000,324.42600000,324.04700000,324.04700000,0,1667262659999,0,60,0,0,0
1667262660000,324.02356762,324.02649167,323.35834210,323.40879415,0,1667262719999,0,60,0,0,0
1667262720000,323.45900000,324.05200000,323.40276853,324.05200000,0,1667262779999,0,60,0,0,0
1667262780000,324.05200000,324.73600000,324.05200000,324.73600000,0,1667262839999,0,60,0,0,0
1667262840000,324.73600000,325.38000000,324.73600000,325.23300000,0,1667262899999,0,60,0,0,0
1667262900000,325.23300000,325.62200000,325.23300000,325.46100000,0,1667262959999,0,60,0,0,0
1667262960000,325.46100000,326.05200000,325.39700000,326.05100000,0,1667263019999,0,60,0,0,0
1667263020000,326.05100000,326.38700000,326.03908686,326.09700000,0,1667263079999,0,60,0,0,0
1667263080000,326.09700000,326.49400000,326.09700000,326.43700000,0,1667263139999,0,60,0,0,0
1667263140000,326.43700000,326.74900000,326.15531375,326.74800000,0,1667263199999,0,60,0,0,0
1667263200000,326.74800000,326.99800000,326.64800000,326.99800000,0,1667263259999,0,60,0,0,0
1667263260000,327,327.29500000,326.83700000,327.00800000,0,1667263319999,0,60,0,0,0
1667263320000,327.00800000,327.33500000,326.91600000,326.99531588,0,1667263379999,0,60,0,0,0
1667263380000,326.99723420,327.22400000,326.98600000,327.08500000,0,1667263439999,0,60,0,0,0
1667263440000,327.08984134,327.36821944,327.07566256,327.07725794,0,1667263499999,0,60,0,0,0
1667263500000,327.12500000,327.23599230,326.90472452,327.07200000,0,1667263559999,0,60,0,0,0
1667263560000,327.02045399,327.19476212,326.94316356,327.07813131,0,1667263619999,0,60,0,0,0
1667263620000,327.08414120,327.40200000,327.08414120,327.22123809,0,1667263679999,0,60,0,0,0
1667263680000,327.22449020,327.22449020,326.96293046,327.11221630,0,1667263739999,0,60,0,0,0
1667263740000,327.11480232,327.20097836,327.01452615,327.02310774,0,1667263799999,0,60,0,0,0
1667263800000,327.02398730,327.13800000,326.93700000,326.96116753,0,1667263859999,0,60,0,0,0
1667263860000,326.96116753,327.18139679,326.95962125,327.05600000,0,1667263919999,0,60,0,0,0
1667263920000,327.05500000,327.09530845,326.99600000,327.08515506,0,1667263979999,0,60,0,0,0
1667263980000,327.08729550,327.08729550,326.71735178,326.71735178,0,1667264039999,0,60,0,0,0
1667264040000,326.71636598,326.71729912,326.43539077,326.63912528,0,1667264099999,0,60,0,0,0
1667264100000,326.63750044,326.68343537,326.58100000,326.67986606,0,1667264159999,0,60,0,0,0
1667264160000,326.67986606,326.68371267,326.33941151,326.40734497,0,1667264219999,0,60,0,0,0
1667264220000,326.40489532,326.44400000,326.40000000,326.42700000,0,1667264279999,0,60,0,0,0
1667264280000,326.42700000,326.63900000,326.42700000,326.63900000,0,1667264339999,0,60,0,0,0
1667264340000,326.63900000,326.69900000,326.49200000,326.49200000,0,1667264399999,0,60,0,0,0
1667264400000,326.49200000,326.72585798,326.47484230,326.71400000,0,1667264459999,0,60,0,0,0
1667264460000,326.71400000,326.82600000,326.59238483,326.59930733,0,1667264519999,0,60,0,0,0
1667264520000,326.59565970,326.60303384,326.29857251,326.36544383,0,1667264579999,0,60,0,0,0
