open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1677628800000,6.35000000,6.35400000,6.34800000,6.35400000,0,1677628859999,0,60,0,0,0
1677628860000,6.35400000,6.35400000,6.35100000,6.35100000,0,1677628919999,0,60,0,0,0
1677628920000,6.35100000,6.35800000,6.35100000,6.35800000,0,1677628979999,0,60,0,0,0
1677628980000,6.35800000,6.36000000,6.35724820,6.35900000,0,1677629039999,0,60,0,0,0
1677629040000,6.35900000,6.36400000,6.35900000,6.36400000,0,1677629099999,0,60,0,0,0
1677629100000,6.36400000,6.36500000,6.36400000,6.36458540,0,1677629159999,0,60,0,0,0
1677629160000,6.36458544,6.36458544,6.35800000,6.35800000,0,1677629219999,0,60,0,0,0
1677629220000,6.35800000,6.35800000,6.35457862,6.35457862,0,1677629279999,0,60,0,0,0
1677629280000,6.35436808,6.35452229,6.34915830,6.34964100,0,1677629339999,0,60,0,0,0
1677629340000,6.34962945,6.35006746,6.34605661,6.34605661,0,1677629399999,0,60,0,0,0
1677629400000,6.34605661,6.34629846,6.34049368,6.34099082,0,1677629459999,0,60,0,0,0
1677629460000,6.34074222,6.34087079,6.33369894,6.33719604,0,1677629519999,0,60,0,0,0
1677629520000,6.33800000,6.35200000,6.33800000,6.35200000,0,1677629579999,0,60,0,0,0
1677629580000,6.35200000,6.35200000,6.35100000,6.35200000,0,1677629639999,0,60,0,0,0
1677629640000,6.35200000,6.35300000,6.35100000,6.35200000,0,1677629699999,0,60,0,0,0
1677629700000,6.35200000,6.35673831,6.35200000,6.35624402,0,1677629759999,0,60,0,0,0
1677629760000,6.35601301,6.35776448,6.35486620,6.35776448,0,1677629819999,0,60,0,0,0
1677629820000,6.35776756,6.36901476,6.35776756,6.36700000,0,1677629879999,0,60,0,0,0
1677629880000,6.36700000,6.36800000,6.36363272,6.36800000,0,1677629939999,0,60,0,0,0
1677629940000,6.36800000,6.36889880,6.36767539,6.36855196,0,1677629999999,0,60,0,0,0
1677630000000,6.36853842,6.36892471,6.36700000,6.36800000,0,1677630059999,0,60,0,0,0
1677630060000,6.36800000,6.37591272,6.36800000,6.37591272,0,1677630119999,0,60,0,0,0
1677630120000,6.37592837,6.38127944,6.37592837,6.37951985,0,1677630179999,0,60,0,0,0
1677630180000,6.37952987,6.37953527,6.37700000,6.37700000,0,1677630239999,0,60,0,0,0
