open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1663849740000,1307.56091940,1307.65057336,1307.46121068,1307.61576816,0,1663849799999,0,7,0,0,0
1663849800000,1307.56992862,1307.56992862,1303.18555202,1304.87404492,0,1663849859999,0,60,0,0,0
1663849860000,1304.87404492,1306.34660220,1304.69169863,1304.69169863,0,1663849919999,0,60,0,0,0
1663849920000,1304.68051749,1305.11982570,1303.22409433,1303.22409433,0,1663849979999,0,60,0,0,0
1663849980000,1303.08328690,1304.71771404,1303.08328690,1304.41084062,0,1663850039999,0,60,0,0,0
1663850040000,1304.37331535,1305.09469726,1304.10189098,1304.48203313,0,1663850099999,0,60,0,0,0
1663850100000,1304.50601172,1305.59081916,1304.15411534,1305.43170022,0,1663850159999,0,60,0,0,0
1663850160000,1305.71992150,1307.25288938,1305.50504898,1307.17477981,0,1663850219999,0,60,0,0,0
1663850220000,1307.15136813,1307.31976422,1306.54589852,1306.97365559,0,1663850279999,0,60,0,0,0
1663850280000,1307.16122424,1308.67213606,1307.16122424,1307.99720383,0,1663850339999,0,60,0,0,0
1663850340000,1307.94339881,1307.99047277,1306.48353410,1306.81785997,0,1663850399999,0,60,0,0,0
1663850400000,1306.81785997,1309.11855014,1306.55538113,1308.97332031,0,1663850459999,0,60,0,0,0
1663850460000,1308.97332031,1310.19060380,1308.68083000,1310.09078439,0,1663850519999,0,60,0,0,0
1663850520000,1310.22281536,1310.59442924,1309.18558180,1309.23669177,0,1663850579999,0,60,0,0,0
1663850580000,1309.24111018,1310.29174485,1309.20254495,1309.45315981,0,1663850639999,0,60,0,0,0
1663850640000,1309.09780251,1309.39200116,1308.45500187,1308.79103328,0,1663850699999,0,60,0,0,0
1663850700000,1308.78108664,1309.90735138,1307.88041017,1309.90735138,0,1663850759999,0,60,0,0,0
1663850760000,1310.07180417,1311.44780938,1309.85998700,1310.88660289,0,1663850819999,0,60,0,0,0
1663850820000,1310.88660289,1311.99605891,1310.32133848,1310.33981179,0,1663850879999,0,60,0,0,0
1663850880000,1309.68063778,1310.31124962,1308.50563560,1308.61039033,0,1663850939999,0,60,0,0,0
1663850940000,1308.70800352,1310.72687788,1308.70800352,1309.44888797,0,1663850999999,0,60,0,0,0
1663851000000,1309.41004490,1310.21006141,1308.03917223,1310.21006141,0,1663851059999,0,60,0,0,0
1663851060000,1310.39071020,1311.19112262,1309.75370005,1309.92660476,0,1663851119999,0,60,0,0,0
1663851120000,1309.96045865,1311.08517542,1309.96045865,1310.97317297,0,1663851179999,0,60,0,0,0
1663851180000,1311.00801628,1311.45702484,1310.42550734,1310.67902251,0,1663851239999,0,60,0,0,0
1663851240000,1310.64938352,1310.64938352,1308.91599936,1308.91870668,0,1663851299999,0,60,0,0,0
1663851300000,1308.91897573,1308.92404502,1307.89288368,1308.79426285,0,1663851359999,0,60,0,0,0
1663851360000,1308.79755608,1309.78246770,1308.58168292,1309.44582224,0,1663851419999,0,60,0,0,0
